Region,Country,Year,"Workers categories excluded","Enterprises excluded","Collective agreements","Reforms under process","General remarks"
"Arab States","United Arab Emirates",2013,"agricultural workers",none,,"There have been changes to the labour law in 2010, effective as of January 2011. However these changes did not affect termination of employment.",
Asia,Afghanistan,2019,"state security corps, civil/public servants, agricultural workers, domestic workers, police, army",none,,"There is an ongoing reform of the Labour Code. As of December 2013, no amendments have been adopted.",
Americas,"Antigua and Barbuda",2018,none,none,,,
Europe,Armenia,2018,none,none,,,
Africa,Angola,2019,"state security corps, civil/public servants, agricultural workers, domestic workers, police, army",none,,,
Americas,Argentina,2019,none,none,,,
Europe,Austria,2019,none,none,,,
Asia,Australia,2019,none,none,,,
Europe,Azerbaijan,2019,none,none,,,
Asia,Bangladesh,2019,none,none,,,
Europe,Belgium,2019,none,none,,,"A list of Collective Labour Agreements (CCT) concluded under the auspices of the National Labour Council (CNT) is available at: <br/>http://www.cnt-nar.be/Cct-liste.htm<br/><br/>- Collective Labour Agreement No 10 , 8 May 1973  on collective dismissals, 8 May 1973, (as amended up to 2009): http://www.cnt-nar.be/CCT-COORD/cct-010.pdf (in French) <br/> <br/>- Collective Labour Agreement No 24. 2 October 1975  on collective dismissals (consultation and information procedure)<br/>(as subsequently modified up to 27 Dec. 2016)<br/>http://www.cnt-nar.be/CCT-COORD/cct-024.pdf<br/><br/>- Collective Labour Agreement No 75 of 20 December 1999, notice period of blue-collars (ratified by Royal Order, 10 February 2000)<br/>http://www.cnt-nar.be/CCT-COORD/cct-075.pdf <br/><br/>- Collective Labour Agreement No 108 ,16 July 2013 on temporary and intermediary work <br/>http://www.cnt-nar.be/CCT-COORD/cct-108.pdf<br/><br/>- On supplementary severance payment for older workers.<br/><br/>Collective Labour Agreement No 17, 19 December 1974 (last modified in 2016)<br/>http://www.cnt-nar.be/CCT-COORD/cct-017.pdf <br/><br/>Collective Labour Agreement No 96 and 97, 20 February 2009.  <br/>http://www.cnt-nar.be/CCT-COORD/cct-096.pdf<br/>http://www.cnt-nar.be/CCT-COORD/cct-097.pdf<br/><br/>Collective Labour Agreement No 109, 18 February 2014, on the motivation of dismissal.<br/>http://www.cnt-nar.be/CCT-COORD/cct-109.pdf <br/>"
Africa,"Burkina Faso",2019,"civil/public servants, police, army, UN employees, diplomats",none,"Inter-occupational Collective Agreement, 9 July 1974 <br/>",,
Europe,Bulgaria,2019,"civil/public servants, police, army, UN employees, diplomats",none,,,
Americas,Bolivia,2019,none,none,,,
Americas,Brazil,2019,"civil/public servants, police, army, UN employees, diplomats",none,,,
Africa,Botswana,2018,"civil/public servants, police, army, UN employees, diplomats",none,,,
Americas,"Canada (Federal only)",2019,"civil/public servants, police, army, UN employees, diplomats",none,,,
Africa,"Congo, Democratic Republic",2019,none,none,,,
Africa,"Central African Republic",2019,"civil/public servants, police, army, UN employees, diplomats",none,,,
Europe,Switzerland,2019,"civil/public servants, police, army, judiciary",20,,,
Africa,"Côte d'Ivoire",2019,none,none,"Inter-occupational Collective Agreement, 20 July 1977<br/>(Convention collective interprofessionnelle du 20 juillet 1977, available only in French)",,
Americas,Chile,2019,none,none,,,
Africa,Cameroon,2019,"civil/public servants, police, army, UN employees, diplomats",none,,,
Asia,China,2017,none,none,,,
Americas,Colombia,2019,none,none,,,
Americas,"Costa Rica",2019,none,none,,,
Americas,Cuba,2019,none,10,,,
Europe,Cyprus,2019,"employer&apos;s family members, civil/public servants, managerial / executive positions, members of cooperatives, UN employees, diplomats",none,,,
Europe,Czechia,2019,"employer&apos;s family members, civil/public servants, managerial / executive positions, members of cooperatives, UN employees, diplomats",none,,,
Europe,Germany,2017,"civil/public servants, agricultural workers, domestic workers",none,,,
Europe,Denmark,2017,"employer&apos;s family members, civil/public servants, managerial / executive positions, members of cooperatives, UN employees, diplomats",none,"General Agreement, 1973 concluded by the Danish Employers&apos; Confederation and the Danish Confederation of Trade Unions (amended in 1993 and 2007)<br/>(Note: the 2007 amendments are not included in the English electronic version)",,"Denmark has a system of decentralized but coordinated collective bargaining. Bargaining at the local level takes place within the parameters set by framework agreements signed by the top organization at industry or branch levels. Only those framework agreements have been referenced here."
Africa,Algeria,2019,"state security corps, civil/public servants, agricultural workers, domestic workers, police, army",none,"Collective framework agreement of the private sector  of 30 September 2006 (CFA)<br/>(Convention collective cadre du secteur u00e9conomique privu00e9 2006 (CFA))<br/>","A reform of the Labour Code is planned since 2011.<br/>Une ru00e9forme du Code du travail est pru00e9vue depuis 2011.",
Americas,Ecuador,2019,"employer&apos;s family members, civil/public servants, managerial / executive positions, members of cooperatives, UN employees, diplomats",none,,,
Europe,Estonia,2017,"employer&apos;s family members, civil/public servants, managerial / executive positions, members of cooperatives, UN employees, diplomats",none,,,
