Region,Country,Year,Reference date,Reference,URL,NATLEX ISN,General remarks
Arab States,United Arab Emirates,2013,2001-01-01,"Federal Law No. 8 on the Regulation of Labour Relations [FLLR], dated 20 April 1980, consolidated version including amendments up to 2001 <br/>[Note: this Law was amended in 2007, and the 2007 are not included in the electronic version available in English. However, those amendments are not related to Employment Protection Legislation].",http://www.gulftalent.com/repository/ext/UAE_Labour_Law.pdf,11956.0,
Asia,Afghanistan,2019,2007-02-01,Labour Code,http://www.aisa.org.af/files/laws/english/Labour-Law.pdf,78309.0,
Americas,Antigua and Barbuda,2018,1975-09-19,"The Antigua and Barbuda Labour Code [LC], Act No. 14 of 1975 (Cap. 27)",https://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=52115,52115.0,
Americas,Antigua and Barbuda,2018,1998-11-19,"Antigua and Barbuda Labour Code (Amendment) Act [LCA], 1998<br/>Act No. 16 of 1998",https://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=52115,,
Americas,Antigua and Barbuda,2018,1976-06-19,"Industrial Court Act [ICA], No. 4 of 1976 (Cap. 214)",https://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=52073,52073.0,
Europe,Armenia,2018,2017-10-23,"Labour Code [LC] of 9 November 2004, last amended by Law LA-109-N of 17.06.16",http://www.irtek.am/views/act.aspx?aid=150003,69749.0,
Europe,Armenia,2018,2011-01-01,Law No. 117-N of 24 July 2010 to amend the Labour Code (major changes to the Labour Code),,86605.0,
Africa,Angola,2019,2015-09-14,"General Labour Act of Angola, 2015 (LEI GERAL DO TRABALHO 7/2015, in Portuguese)",http://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=99347&p_classification=01.02,99347.0,
Americas,Argentina,2019,2016-12-13,"oLabour Contract Law [LCL], Law No. 20.744 promulgated by Decree 390/1976 of 13 May 1976, as last amended by Laws No. 27.320, 27.321, 27.322, 27.323 and 27.325  of 13  December 2016, (Ley del Contrato de Trabajo - available only in Spanish)",http://servicios.infoleg.gob.ar/infolegInternet/anexos/25000-29999/25552/texact.htm,26601.0,
Americas,Argentina,2019,2011-12-27,"National Employment Law [NEL], Law No. 24.013 of 5 December 1991, Law No. 26.727 of 21 December 2011, Ley Nacional del Empleo - available only in Spanish)",https://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=26593,26593.0,
Americas,Argentina,2019,2004-12-16,"Organization and Procedures of National labour Justice,  Act No. 18.345, consolidated version approved by Decree 106/98 of 26 January 1998, last amended by Law No. 25.999 of 16 December 2004 and (Organización y Procedimiento de la Justicia Nacional del Trabajo, available only in Spanish)",https://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=48665,48665.0,
Americas,Argentina,2019,1988-04-22,"Trade Unions Act, Law No. 23551 of 23 March 1988, (Ley de Asociaciones Sindicales – available only in Spanish)",http://servicios.infoleg.gob.ar/infolegInternet/anexos/20000-24999/20993/norma.htm,4984.0,
Americas,Argentina,2019,2012-01-05,"Agricultural Employment Law, Law No. 26.727 of 21 December 2011,  (Ley del Trabajo Agrario – available only in Spanish)",http://servicios.infoleg.gob.ar/infolegInternet/anexos/190000-194999/192152/norma.htm,95385.0,
Americas,Argentina,2019,1997-08-01,"Labour Procedure and Mandatory Conciliation Act, Law No. 24.635 of 10 April 1996, complementing Law 18.345. (Procedimiento Laboral. Conciliación obligatoria previa. Modificación de la ley 18.345 – Ley 24.645, available only in Spanish)",http://servicios.infoleg.gob.ar/infolegInternet/anexos/35000-39999/36739/norma.htm,43266.0,
