Region,Country,Year,No Limitation,General remarks,Max probationary (trial) period
Arab States,United Arab Emirates,2013,,Art. 37 FLLR: max. 6 months (not renewable).<br/>Termination during that period is allowed without notice or end of service payment.,6.0 month(s)
Asia,Afghanistan,2019,,Art. 17(1) LC.,3.0 month(s)
Americas,Antigua and Barbuda,2018,,"Sec. C8 LC: The probation period may not exceed 3 months, unless there is provision for a greater period in a collective agreement.<br/>During his probation period, an employee&apos;s employment may be terminated without any reason.",3.0 month(s)
Europe,Armenia,2018,,Art. 92 LC: the probationary period cannot exceed 3 months. However the probationary period up to 6 months may be established by law for some categories of workers.,6.0 month(s)
Africa,Angola,2019,,"Art. 18 GLA: The standard probationary period shall be 60 days. However, the parties can extend this period, in writing, to 4 months when a highly qualified employee is concerned, or to 6 months when the worker is hired to perform highly complex technical work or if he/she occupies a managerial position which requires high level education.<br/>If the contract is concluded for a fixed-term, a probationary period can be stipulated in writing provided that it does not exceed 15 days for unskilled workers and 30 days for skilled workers.<br/>During that period, either part may terminate the employment contract without prior justification and prior notice, and without any compensation.",6.0 month(s)
Americas,Argentina,2019,,"Art. 92 LCL: the first three months of employment of indeterminate contracts, except for seasonal work referred to in Article 96 LCL, are considered a probationary period.<br/>During this time, either party may terminate the  employment contract  without justification and without liability for indemnification. Notice requirements must however be observed. <br/>",3.0 month(s)
Europe,Austria,2019,,1 month for white-collar workers: see sec. 19 White-Collar Employees Act.<br/>Note: The probationary period for blue collar workers is governed by sec. 1158(2) ABGB as amended by collective agreements.  <br/>Most collective agreements have amaximum trial period of 1 month.,1.0 month(s)
Asia,Australia,2019,,"There is no statutory probationary period in the FWA.<br/>However, according to s382, <b>a national system employee is protected from unfair dismissal and is therefore eligible to make an application for unfair dismissal if he or she has completed &quot;the minimum employment period&quot;.</b>.<br/>The minimum employment period is defined in s383 FWA as follows:<br/>- <b>6 months</b> if the employer is <b>not a small business employer (15 or more employees)</b> or,<br/>- <b>1 year</b> if the employer is <b>a small business employer (less than 15 employees)</b>.<br/><br/>",1.0 year(s)
Europe,Azerbaijan,2019,,Art. 51 LC,3.0 month(s)
Asia,Bangladesh,2019,,"Sec. 4(8) LA: The probationary period shall be:<br/>- 6 months for a worker exercising functions of clerical nature and;<br/>- 3 months for other workers. <br/>The period of probation of a skilled worker can be extended by an additional period of 3 months if it has not been possible to determine the quality of the work within the first 3 months&apos; period of probation. If the employment of a probationer is terminated but s/he is employed by the same employer within the next three years, s/he is exempted from the period of probation previously completed (sec. 4(9) LA).",6.0 month(s)
Europe,Belgium,2019,,"The distinction between the maximum probationary periods of blue-collars and white-collars workers has been abolished from 1 January 2014 with the 2013 Law introducing a single status between blue-collars and white-collars workers with regard to notice periods.<br/><br/>Accordingly, the parties to an employment contract can no longer provide for a probationary period in a contract of employment concluded after 1 January 2014. Should such a clause be introduced, it would be considered invalid and void. Transitional measures apply to clauses concerning probationay periods included in contracts concluded before 1 January 2014.<br/><br/>However, probationary period may still apply to student occupation contracts as well as to contracts governed by the Act of 24 July 1987 on temporary work.<br/><br/>Further information: http://www.emploi.belgique.be/defaultTab.aspx?id=41845",0.0 month(s)
Africa,Burkina Faso,2019,,"Art. 42 LC. The probationary period varies according to the category of workers. It amounts to:<br/>*8 days for workers paid on a hourly or daily basis;<br/>*3 months for executives, technicians and similar positions;<br/>*1 month for the other workers. <br/>It can be renewed once.<br/><br/>The reference to 6 months above corresponds to the probationary period for executives, technicians (3 months) renewed once.<br/>",6.0 month(s)
Europe,Bulgaria,2019,,Art. 70 LC,6.0 month(s)
Americas,Bolivia,2019,,"Art. 13 of the Labour Code: When an employer or worker is dismissed for due to the employer´s initiative, the employer must compensate the worker for the service, with the amount of one month salary for every year of work. If the time of service does not amount to one year, compensation will be proportional to the number of worked months, excluding the three first months which are considered probationary period. If the employee has worked for more than 8 years, the compensation to be paid will be equally to the one paid in case of voluntary dismissal.<br/><br/>Note: Supreme Decree No. 17289, of 1980, exempts certain categories of workers from the probationary period of Article 13 of the Labour Code.",3.0 month(s)
Americas,Brazil,2019,,"Art. 445 CLL, single §: Contracts concluded on a probationary basis may not exceed 90 days.<br/>However, for the purposes of determining compensation for unjustified dismissal, the first year of a contract of an unspecified duration shall be deemed to be a trial period and any worker who has not completed such period would not be entitled to compensation (art. 478, § 1° CLL).<br/>",3.0 month(s)
Africa,Botswana,2018,,"Sec. 20 EA : The probationary period cannot exceed three months in the case of unskilled employees, and twelve months in the case of skilled employees.",12.0 month(s)
Americas,Canada (Federal only),2019,Y,No statutory limitations.,nan nan
Africa,"Congo, Democratic Republic",2019,,Art. 43 LC: the probationary period cannot exceed 1 month for unskilled blue-collar workers and 6 months for the other categories of workers.,6.0 month(s)
Africa,Central African Republic,2019,,"Art. 122 LC: <br/>The duration of the probationary period varies according to the worker&apos;s category, as follows:<br/>- 8 days for hourly, daily, weekly and fortnightly paid workers;<br/>- 1 month for monthly paid workers;<br/>- 2 months for first-line supervisors;<br/>- 3 months for executive staff.<br/>It can be renewed once.<br/>(6 months = max. probationary period for executives including renewal)<br/>",6.0 month(s)
Europe,Switzerland,2019,,"Art. 335b(2) CO.<br/>&quot;1 Pendant le temps d&apos;essai, chacune des parties peut résilier le contrat de travail à tout moment moyennant un délai de congé de sept jours; est considéré comme temps d&apos;essai le premier mois de travail.<br/>2 Des dispositions différentes peuvent être prévues par accord écrit, contrat-type de travail ou convention collective; toutefois, le temps d&apos;essai ne peut dépasser trois mois. (...)&quot;<br/>________<br/>In English:<br/>Art. 335b(2) CO: &quot;1 During the probation period, either party may terminate the contract at any time by giving seven days&apos; notice; the probation period is considered to be the first month of an employment relationship.<br/>2 Different terms may be envisaged by an individual written agreement, a standard employment contract or a collective employment contract; however, the probation period may not exceed three months. (...)&quot;",3.0 month(s)
Africa,Côte d'Ivoire,2019,,"Art. 14.5 LC: &quot;Le contrat de travail, qu&apos;il soit à durée déterminée ou à durée indéterminée, peut comporter une période d&apos;essai dont la durée totale maximale est fixée par décret.&quot;<br/> <br/>Art.2 du Décret No. 96-195.- Dans l’un ou l’autre cas, la durée de l’essai est fixée par écrit comme suit :<br/>• 8 jours pour les travailleurs payés à l’heure ou<br/>à la journée ;<br/>• 1 mois pour les travailleurs payés au mois ;<br/>• 2 mois pour les agents de maîtrise, techniciens<br/>et assimilés ;<br/>• 3 mois pour les ingénieurs, cadres, techniciens<br/>supérieurs et assimilés. <br/>____________________<br/>In English:<br/>Art. 14.5 LC: &quot;An employment contract, whether for a fixed term or an indefinite period, may include a trial period, the maximum total duration of which is fixed by decree.&quot;<br/><br/>Art. 2 Decree N° 96-195.<br/>The probationary period varies according to the category of workers as follows:<br/>*1 month for monthly paid workers;<br/>*2 months for supervisors, technicians ans similar workers;<br/>*3 months for engineers, managers, high-level technicians and similar workers;<br/>*8 days for workers paid on a hourly or daily basis.<br/>It can be renewed once.",6.0 month(s)
Americas,Chile,2019,Y,"Probationary period is not regulated by law. Fixed-term contracts are used, in practice, as &quot;probationary&quot; time.",nan nan
Africa,Cameroon,2019,,"*Art. 28 LC<br/>The probationary period cannot exceed 6 months including renewal,  except for managerial staff for whom it can be extended to 8 months.<br/><br/>See also: Arrêté n° 017/MTPS/SG/CJ du 26 mai 1993 fixant la durée maximale et les modalités de l&apos;engagement à l&apos;essai.<br/>",8.0 month(s)
Asia,China,2017,,"Art. 19 ECL.<br/>The maximum duration of the probationary period varies according to the the duration of the employment contract, as follows:<br/>- term ranging from 3 months to less than 1 year: maximum one month;<br/>- term ranging from more than 1 year to less than 3 years: maximum two months;<br/>- more than three years and open-ended contracts: maximum 6 months.  <br/>No probation period shall be specified in an employment contract concluded for the completion of specific task or an employment contract concluded for less than three months.",6.0 month(s)
Americas,Colombia,2019,,"Article 78. Maximum duration. The trial period cannot exceed two (2) months. In fixed-term employment contracts, the duration of which is less than one (1) year, the trial period may not exceed one fifth of the term initially agreed for the respective contract, without exceeding two months.<br/><br/>",2.0 month(s)
Americas,Costa Rica,2019,,"The trial period is not regulated by the legal system. However, it is often confused with the initial term of three months in the contracts for an indefinite period, in which it is possible to terminate the employment relationship without the employer having to pay the notice and severance pay, according to article 28 (a) of the Labour Code.<br/>",nan nan
Americas,Cuba,2019,,"Article 32 of Labour Code: The trial period is the time in which the worker demonstrates possessing the suitability required for the performance of the position that the worker aspires to occupy and verifies that the conditions and characteristics of the workplace correspond to the worker´s interests and the employer guarantees the information, the means, the necessary conditions and determines the demonstrated suitability of the worker. During the same, either party may terminate the employment relationship. Compliance with the trial period is not required for those hired for a specified time or for the execution of a job or work, for the fulfillment of social service and by decision of the employer in other cases. The trial period is established between thirty and up to one hundred and eighty days; Its duration is determined in correspondence with the complexity of the position and is agreed in the Collective Labor Agreement. If after this, the parties do not express their will to the contrary, the employment relationship is formalized for an indefinite period. For seafarers, the trial period can be extended to the length of the first campaign or voyage",180.0 day(s)
Europe,Cyprus,2019,,"Sec. 3 and 9 TEA. <br/><br/>Articles 9 - It shall further be understood that no probationary period shall be longer than one hundred and four weeks (24 months), and any probationary period longer than 26 weeks shall fall within this reservation by means of a letter of agreement between the employer and the employer at the time of the entry into force of the employer&apos;s employment.<br/>(2) In all cases before the Labour Court, a dispute under this Article shall be presumed, until proven otherwise, that the employment was not on a trial basis.<br/>",24.0 month(s)
Europe,Czechia,2019,,"Previously to the amendments which took effect in 2012 Sec. 35 LC provided for a trial period of 3 months. With the new rules trial period may not be longer than 3  consecutive months from the date when the employment relationship commences(sec 35.a),  however the trial period has been extended for up to 6 months from the date of commencement of the employment relationship where it concerns a managerial employee (35.b).",6.0 month(s)
Europe,Germany,2017,,Sec. 622 (3) CC,6.0 month(s)
Europe,Denmark,2017,,"- There is no general legislation regarding probationary periods in Denmark. For salaried employees (white-collar employees) however, a probationary period of up to three months may be agreed. This period cannot be extended. During the probationary period both parties are entitled to terminate the employment contract by giving 14 days of notice. <br/>- Sec. 2 (5) ESEA provides that:  &quot;if the employer can substantiate that the engagement is on probation and that the employment relationship does not exceed a period of three months, termination on the part of the employment may take place given a  period of notice of at least 14 days¿ <br/>",3.0 month(s)
Africa,Algeria,2019,,Art. 18 LRA - The probationary period shall not exceed 6 months.<br/>It can however be extended to 12 months when the job requires high level qualification.<br/>The probationary period is fixed through collective bargaining for each category of the workforce or for the entire workforce.<br/>_________________<br/>L&apos;article 18 de la Loi No. 90-11 sur les relations de travail (LRA) dispose que &quot;le travailleur nouvellement recruté peut être soumis à une période d’essai dont la durée ne peut excéder six mois. Cette période peut être portée à douze mois pour les postes de travail de haute qualification. La période d’essai est déterminée par voie de négociation collective pour chacune des catégories de travailleurs ou pour l’ensemble des travailleurs.&quot;,12.0 month(s)
Americas,Ecuador,2019,,"Article 15 of Labour Code - Trial contract.<br/>(1) In any contract of those referred to in the first paragraph of the article 14, when it is held for the first time, a trial time may be concluded, with a maximum duration of ninety days. Once this term has expired, it will automatically be understood to continue in effect for the time remaining to complete the 1 year. Such a contract may not be concluded but once between the same parties.<br/><br/>(2) During the trial period, either party can freely terminate it.<br/><br/>(3) The employer may not simultaneously maintain workers with a trial contract for a number that exceeds fifteen percent of the total of its workers. However, employers that start operations in the country, or existing ones that expand or diversify their industry, activity or business, will not be subject to the fifteen percent percentage during the six months after the start of operations, expansion or diversification of activity, industry or business. In the case of expansion or diversification, the exemption of the percentage will not be applied with respect to all the workers of the company but exclusively on the increase in the number of workers of the new commercial or industrial activities.<br/>",90.0 day(s)
Europe,Estonia,2017,,Art. 86 ECA,4.0 month(s)
Africa,Egypt,2017,,Art. 33 LL.,3.0 month(s)
Europe,Spain,2019,,"The maximum duration of the probationary period is set in accordance with the provisions of collective agreements. However, in the absence of a collective agreement, the duration of probationary period may not exceed six months for skilled technicians, or two months for other workers.<br/>In enterprises employing fewer than 25 workers the probation period may not exceed three months for workers who are not skilled technicians (art. 14 ET).<br/><br/>A maximum probationary period of one month for temporary contracts not exceeding six months is now provided by art. 14 ET ( <b> as from the entry into force of Royal Decree Law 16/2013 </b>) (there used to be no specific limit for such contracts).<br/><br/>Probationary period for open-ended contracts in firms with fewer than 50 employees will be one year (art. 4 Royal Decree Law 3/2012).<br/><br/><br/>",6.0 month(s)
Africa,Ethiopia,2013,,Art. 11 (3) LP.,45.0 day(s)
Europe,Finland,2019,,"Sec. 4, chap. 1 ECA.<br/>The probation period can be prolonged retroactively if the employee has been unable to work for at least 30 days during the probation period. In case of a fixed-term contract, the probation period can not be longer than half the duration of the contract. Collective bargaining agreements can stipulate shorter probation periods. The employer must notify the employee of such if they exist.",6.0 month(s)
Europe,France,2019,,Art. L 1221-19 LC & L. 1221-21 LC: max. 4 months for managers (shorter periods apply for other categories of workers) renewable once.,8.0 month(s)
Africa,Gabon,2019,,"Art 30 LC establishes a maximum statutory probation period that varies according to the category of worker, as follows:<br/>* 6 months for executive staff<br/>* 3 months  for white collars, technicians and supervisors<br/>* 1 month for the other workers.",6.0 month(s)
