Region,Country,Year,"Notification to the worker to be dismissed","Pay in lieu of notice","Notification to the public administration","Notification to workers' representatives","Approval by public administration or judicial bodies","Approval by workers' representatives","General remarks"
"Arab States","United Arab Emirates",2013,written,Y,N,N,N,N,"Art. 117 FLLR provides that either party may terminate a contract of unlimited duration for a valid reason at any time provided that written notice is given to the other party at least 30 days prior to termination. <br/>In respect of employees paid on a daily-basis, the period of notice is as follows:<br/>- one week in the employee has worked for more than six months but less than one year;<br/>- two weeks if the employee has worked for at least one year;<br/>- one month if the employee has worked for at least five years. <br/>"
Asia,Afghanistan,2019,"no specific form required",N,Y,N,N,N,
Americas,"Antigua and Barbuda",2018,"no specific form required",Y,N,N,N,N,"See sec. C9(3) LC.<br/>- The period of said advance notice shall be at least equivalent to <b>the interval of time between the affected employee&apos;s paydays</b>. It shall <b>not exceed 30 days</b> unless a longer notice period is stipulated in an employment contract.<br/>- With respect to an employee serving a probation period, an employer must give at least 24 hours advance notice of his intention to terminate that person&apos;s employment.<br/>"
Europe,Armenia,2018,written,Y,N,N,N,N,"Article 115 LC as amended by Law No. 117-N of 24 July 2010 reads as follows:<br/>“(...) the employer is obliged to notify in written form <br/>the worker who has worked up to one year not later than 14 days prior, <br/>the worker having worked from a year to five years- 35 days prior,<br/>the worker having worked from 5 to 10 years - 42 days prior,<br/>the worker having worked up to 15 years- 49 days prior, <br/>the worker having worked for more than 15 years - 60 days prior. (...)&quot;"
Africa,Angola,2019,written,Y,Y,N,N,N,"Art. 212 GLA: The period of notice for individual economic dismissals is 30 days.<br/><br/>No notice is required for disciplinary dismissals.<br/>"
Americas,Argentina,2019,written,Y,N,N,N,N,"Art. 231 (b) LCL: establishes various statutory notice periods<br/><br/>According to article 231 LCL this is the compulsory minimum notification period, but the parties can agree on a longer one.<br/><br/>Fixed term contracts must follow article 94 LCT, according to which parties need to inform the other party of the end of the contract between 1 and 2 months before the agreed deadline, except if the contract is for the duration of less than one 1 month. If the advance notice is not observed, it will be presumed the conversion of the contract to an indeterminate one, except if an explicit renovation of the contract has been agreed.<br/><br/>Please note, however, that these rules do not apply to small and medium sized companies which are defined as those companies which up to 40 employees and a maximum annual turnover of such an amount set out by a special monitory commission (Comisión Especial de Seguimiento) for each activity or sector (art. 83 SMEL).<br/>In those companies, the employer is only required to give an advance notice of one month to the employee, regardless of the length of service (art. 95 SMEL).<br/>"
Europe,Austria,2019,"no specific form required",N,N,Y,N,N,"- White-collar workers:<br/>Sec. 20 (2) White-collar Employees Act:<br/>In the absence of an individual agreement that is more favourable for the employee , the notice period is 6 weeks which increases with the length of service (2 months after 2 years of service,  3 months after 5 years,  4 months after 15 years and 5 months after 25 years).  <br/><br/>- Blue-collar workers:<br/>The notice period is 14 days in the absence of any other arrangement: sec. 77 Commerce Regulations (for industrial workers).<br/><br/>- See also: sec. 1159 and 1159b CC: minimum 14-day notice unless the employee is paid on a daily basis or by piece-rate, in which case only one day&apos;s notice needs to be given."
Asia,Australia,2019,written,Y,N,N,N,N,"Notice of termination is - together with other rights and entitlements set out in part 2.2 of the FWA - part of the new <b>&quot;National Employment Standards&quot;, in force since 1st January 2010.</b><br/>s117(3) establishes the statutory minimum notice periods which varies according to the length of service and the age, as follows:<br/>- If the employee has been continuously employed for not more than 1 year, the notice period shall be 1 week;<br/>- If the length of service is more than 1 year but not more than 3 years, the notice period shall be 2 weeks;<br/>- If the length of service is more than 3 year but not more than 5 years, the notice period shall be 3 weeks;<br/>- If the length of service is more than 5 years, the notice period shall be 4 weeks.<br/><br/>In addition, the notice period shall be increased by 1 week if the employee is over 45 years old and has completed at least 2 years of continuous service with the employer at the end of the day the notice is given.<br/><br/>However, according to s123 FWA, the provisions on notice of termination do not apply to the following employees:<br/>- Employees not covered by Division 11 of the FWA (both notice of termination and redundancy pay):<br/>&quot;(1) (a) an employee employed for a specified period of time, for a specified task, or for the duration of a specified season;<br/>(b) an employee whose employment is terminated because of serious misconduct;<br/>(c) a casual employee;<br/>(d) an employee (other than an apprentice) to whom a training arrangement applies and whose employment is for a specified period of time or is, for any reason, limited to the duration of the training arrangement;<br/>(e) an employee prescribed by the regulations as an employee to whom this Division does not apply.<br/>(2) Paragraph (1)(a) does not prevent this Division from applying to an employee if a substantial reason for employing the employee as described in that paragraph was to avoid the application of this Division&quot;<br/>- Other employees not covered by notice of termination provisions:<br/>&quot;(3) (b) a daily hire employee working in the building and construction industry (including working in connection with the erection, repair, renovation, maintenance, ornamentation or demolition of buildings or structures); or<br/>(c) a daily hire employee working in the meat industry in connection with the slaughter of livestock; or <br/>(d) a weekly hire employee working in connection with the meat industry and whose termination of employment is determined solely by seasonal factors; or<br/>(e) an employee prescribed by the regulations as an employee to whom that Subdivision does not apply.&quot;"
Europe,Azerbaijan,2019,written,Y,N,N,N,N,"Art. 77 (1) LC<br/>Amendments were made on this in 2017."
Asia,Bangladesh,2019,written,Y,N,N,N,N,"- In the event of a retrenchment, the employer shall give the employee one month&apos;s notice (sec. 20(1) LA).<br/><br/>- In the event of termination without cause (sec. 26 LA), the employer shall give the employee the following notice period:<br/><br/>1)  For permanent workers: <br/>- 120 days&apos; notice if the worker is paid on a monthly basis; <br/>- 60 days&apos; notice to other workers.<br/><br/>2) For temporary workers (when termination is not due to the completion, cessation, abolition or discontinuance of the temporary work for which he was appointed):<br/>- 30 days&apos; notice if the temporary worker is paid on a monthly basis;<br/>- 14 days&apos; notice to other temporary workers.<br/><br/>- No statutory notice requirements for conduct and capacity-related dismissals (referred to respectively in the LA as &apos;dismissal&apos; and &apos;discharge&apos;), except for dismissals based on unjustified absence from the work place. (In case a worker remains absent from work without notice for at least 10 days, the employer shall serve him or her a notice to explain the reasons for the absence. If the worker does not submit a written justification for the absence or returns to work within 17 days, he or she is considered terminated, sec. 27(3A))."
