Region,Country,Year,"Compensation for unfair dismissal - free determination by court","Compensation for unfair dismissal - Legal limits (ceiling in months or calculation method)","Reinstatement available","Preliminary mandatory conciliation","Competent court(s) / tribunal(s)","Existing arbitration","Length of procedure","Length of procedure - unit","Statutory length of procedure","% of dismissals out of the total number of disputes","General remarks"
"Arab States","United Arab Emirates",2013,N,"Art. 123 FLLR.",N,Y,"labour court",N,1,year(s),,,
Asia,Afghanistan,2019,N,"The LC does not regulate compensation for unfair dismissal. The only provision regarding remedies for unfair dismissal is art. 132 according to which &quot;If the employee is dismissed illegally from job, and re-employed to the previous job after a decision of the Dispute Settlement Commission or a court decision, his/her wages and other benefits of dismissal period is paid as per average wage and other benefit of the last six months prior to dismissal&quot;.",Y,N,"ordinary courts",N,,,,,"Art. 132 LC refers to the reinstatement decision of the Dispute Settlement Commissions or the Court.<br/><br/>The LC states that the establishment and the composition of labour dispute settlement commission and the hearing of labour disputes  shall be regulated in accordance with the relevant legislative document. However, no information as to the existence of such regulation was found."
Americas,"Antigua and Barbuda",2018,Y,"See sec. B12 LC, as amended by sec. 6 of LCA: In an unfair dismissal or suspension without pay matter, a decisional officer may order the payment of a sum of money equal to loss of wages sustained and, in addition thereto he may also order the re-instatement or restoration of the person dismissed or suspended, <b>or the payment of a sum of money in lieu of such reinstatement</b>&quot;",Y,Y,"ordinary courts, administrative body",N,,,,46,"The Hearing Officer is competent to hear complaints of unfair dismissal  (upon referral by the Minister) and impose appropriate remedies (damages or reinstatement in addition to the payment of loss wages) (see. sec. B12, and C63 LC).<br/><br/>It should be noted that the Industrial Relations Court has jurisdiction over trade disputes (collective disputes) and does not generally have jurisdiction over individual disputes such as disputes concerning dismissal.<br/>However, according to sec. 10 ICA provides that  in addition to its jurisdiction, in any dispute concerning the dismissal of an employee, if in the opinion of the Court, an employee has been dismissed in circumstances that are harsh and oppressive or not in accordance with the principles of good industrial relations practice, it may order the re-employment or re-instatement of the employee and/or the payment of compensation or damages, or the payment of exemplary damages in lieu of such re-employment or re-instatement.<br/><br/>"
Europe,Armenia,2018,,,Y,N,"ordinary courts, administrative body",N,,,,,"Art. 264 LC"
Africa,Angola,2019,N,,Y,Y,"ordinary courts",Y,,,,,"Labour Courts have jurisdiction over all kind of labour disputes: art. 307 GLA."
Americas,Argentina,2018,N,,N,Y,"ordinary courts, administrative body",Y,,,,,"Art. 20, Organization and Procedures of National labour Justice, Act No. 18.345."
Europe,Austria,2019,Y,,Y,N,"ordinary courts, administrative body",Y,,,,,"Sec. 105(4) WCA and 50 (1) Labour and Social Court Act."
Asia,Australia,2019,N,"See s392 FWA on Remedy - compensation<br/><br/>",Y,Y,"ordinary courts, administrative body",Y,,,,,"Unfair dismissal disputes are decided by the Fair Work Commission (which is the national workplace relations tribunal) (sec. 385, 390 FWA)<br/><br/>Note that general protections dismissal applications (see prohibited grounds) can be brought to the FWC which must deal with the dismissal by mediation or conciliation. If it is satisfied that all reasonable attempts to resolve the dispute by mediation or conciliation have been or are likely to be unsuccessful ,it must issue a decision to refer the dispute to arbitration. If both parties agree, the FWC can then resolve the conflict by arbitration (sec. 369 FWA). Otherwise, the applicant can then make an application to an ordinary court to deal with the matter (Sec 370 FWA).<br/>A person cannot make a general protections dismissal application at the same time as an unfair dismissal application"
Europe,Azerbaijan,2019,Y,"Art. 290 and 300 LC",Y,N,"ordinary courts, administrative body",Y,,,,80,"Art. 296 LC"
Asia,Bangladesh,2019,Y,"The LA does not specify the powers of the Court with respect to awarding damages. Sec. 33(4) LA refers to the power of the Court to &quot;make such orders as it may deem just and proper&quot;. This includes awarding damages.<br/>",Y,N,"ordinary courts, administrative body",N,60,day(s),Y,,"Note that only workers who have been &quot;discharged&quot;, &quot;dismissed&quot; or &quot;retrenched&quot; (i.e. workers who have been dismissed on grounds of incapacity, misconduct or redundancy) can seek redress for grievance related to dismissal in the courts. <br/>Workers who have been &quot;terminated&quot; by simple notice (with no reason given) cannot challenge such termination in court unless they claim a breach of the requisite requirements (notice and severance pay) or allege that their termination was based on their trade union membership or activity (sec. 33(9) LA).<br/>- The worker must start a grievance procedure by submitting his/her complaint to the employer, in writing within 30 days of being informed the cause of such grievance. The employer has to inquire into the matter and inform the worker of his/her decision in writing within 15 days (sec. 33(1) &(2) LA ). <br/>- If the employer fails to give an answer or if the worker is not satisfied with the employer&apos;s statement, the worker can bring a complaint before the Labour Court within 30 days (sec. 33(3) LA). The Court shall issue a decision within 60 days following the filing of the case (sec. 216(11) LA).<br/>- Appeals against the court&apos;s decision  shall be lodged to the Labour Appellate Tribunal within 30 days of the court&apos;s order (sec. 33(6) LA)."
