Region,Country,Year,Tenure >=,Category (Severance pay / Redundancy pay),General remarks,Severance pay amount in time
Arab States,United Arab Emirates,2013,6 months,Severance pay,"According to art. 132 FLLR, a worker who has completed one year or more of continuous service is entitled to severance pay (also referred to as &quot;end of service gratuity&quot;) at the end of his employment. Severance pay is calculated as follows:<br/>- 21 days&apos; wages for each year of the first five years of service; and<br/>- 30 days&apos; wages for each additional year, provided that the total amount does not exceed 2 years&apos; wages. <br/>A worker shall be entitled to severance pay for any fraction of a year during which he actually served, provided that he has completed one year of continuous service (art. 133 FLLR)<br/><br/>There is no entitlement to severance pay if the employee is terminated for one of the reasons set out in Article 120 of the Labour Law (those entailing summary dismissal) (art. 139 FLLR).",0.25 month(s)
Arab States,United Arab Emirates,2013,9 months,Severance pay,"According to art. 132 FLLR, a worker who has completed one year or more of continuous service is entitled to severance pay (also referred to as &quot;end of service gratuity&quot;) at the end of his employment. Severance pay is calculated as follows:<br/>- 21 days&apos; wages for each year of the first five years of service; and<br/>- 30 days&apos; wages for each additional year, provided that the total amount does not exceed 2 years&apos; wages. <br/>A worker shall be entitled to severance pay for any fraction of a year during which he actually served, provided that he has completed one year of continuous service (art. 133 FLLR)<br/><br/>There is no entitlement to severance pay if the employee is terminated for one of the reasons set out in Article 120 of the Labour Law (those entailing summary dismissal) (art. 139 FLLR).",0.5 month(s)
Arab States,United Arab Emirates,2013,1 year,Severance pay,"According to art. 132 FLLR, a worker who has completed one year or more of continuous service is entitled to severance pay (also referred to as &quot;end of service gratuity&quot;) at the end of his employment. Severance pay is calculated as follows:<br/>- 21 days&apos; wages for each year of the first five years of service; and<br/>- 30 days&apos; wages for each additional year, provided that the total amount does not exceed 2 years&apos; wages. <br/>A worker shall be entitled to severance pay for any fraction of a year during which he actually served, provided that he has completed one year of continuous service (art. 133 FLLR)<br/><br/>There is no entitlement to severance pay if the employee is terminated for one of the reasons set out in Article 120 of the Labour Law (those entailing summary dismissal) (art. 139 FLLR).",1.0 month(s)
Arab States,United Arab Emirates,2013,2 years,Severance pay,"According to art. 132 FLLR, a worker who has completed one year or more of continuous service is entitled to severance pay (also referred to as &quot;end of service gratuity&quot;) at the end of his employment. Severance pay is calculated as follows:<br/>- 21 days&apos; wages for each year of the first five years of service; and<br/>- 30 days&apos; wages for each additional year, provided that the total amount does not exceed 2 years&apos; wages. <br/>A worker shall be entitled to severance pay for any fraction of a year during which he actually served, provided that he has completed one year of continuous service (art. 133 FLLR)<br/><br/>There is no entitlement to severance pay if the employee is terminated for one of the reasons set out in Article 120 of the Labour Law (those entailing summary dismissal) (art. 139 FLLR).",2.0 month(s)
Arab States,United Arab Emirates,2013,4 years,Severance pay,"According to art. 132 FLLR, a worker who has completed one year or more of continuous service is entitled to severance pay (also referred to as &quot;end of service gratuity&quot;) at the end of his employment. Severance pay is calculated as follows:<br/>- 21 days&apos; wages for each year of the first five years of service; and<br/>- 30 days&apos; wages for each additional year, provided that the total amount does not exceed 2 years&apos; wages. <br/>A worker shall be entitled to severance pay for any fraction of a year during which he actually served, provided that he has completed one year of continuous service (art. 133 FLLR)<br/><br/>There is no entitlement to severance pay if the employee is terminated for one of the reasons set out in Article 120 of the Labour Law (those entailing summary dismissal) (art. 139 FLLR).",4.0 month(s)
Arab States,United Arab Emirates,2013,5 years,Severance pay,"According to art. 132 FLLR, a worker who has completed one year or more of continuous service is entitled to severance pay (also referred to as &quot;end of service gratuity&quot;) at the end of his employment. Severance pay is calculated as follows:<br/>- 21 days&apos; wages for each year of the first five years of service; and<br/>- 30 days&apos; wages for each additional year, provided that the total amount does not exceed 2 years&apos; wages. <br/>A worker shall be entitled to severance pay for any fraction of a year during which he actually served, provided that he has completed one year of continuous service (art. 133 FLLR)<br/><br/>There is no entitlement to severance pay if the employee is terminated for one of the reasons set out in Article 120 of the Labour Law (those entailing summary dismissal) (art. 139 FLLR).",5.0 month(s)
Arab States,United Arab Emirates,2013,10 years,Severance pay,"According to art. 132 FLLR, a worker who has completed one year or more of continuous service is entitled to severance pay (also referred to as &quot;end of service gratuity&quot;) at the end of his employment. Severance pay is calculated as follows:<br/>- 21 days&apos; wages for each year of the first five years of service; and<br/>- 30 days&apos; wages for each additional year, provided that the total amount does not exceed 2 years&apos; wages. <br/>A worker shall be entitled to severance pay for any fraction of a year during which he actually served, provided that he has completed one year of continuous service (art. 133 FLLR)<br/><br/>There is no entitlement to severance pay if the employee is terminated for one of the reasons set out in Article 120 of the Labour Law (those entailing summary dismissal) (art. 139 FLLR).",10.0 month(s)
Arab States,United Arab Emirates,2013,20 years,Severance pay,"According to art. 132 FLLR, a worker who has completed one year or more of continuous service is entitled to severance pay (also referred to as &quot;end of service gratuity&quot;) at the end of his employment. Severance pay is calculated as follows:<br/>- 21 days&apos; wages for each year of the first five years of service; and<br/>- 30 days&apos; wages for each additional year, provided that the total amount does not exceed 2 years&apos; wages. <br/>A worker shall be entitled to severance pay for any fraction of a year during which he actually served, provided that he has completed one year of continuous service (art. 133 FLLR)<br/><br/>There is no entitlement to severance pay if the employee is terminated for one of the reasons set out in Article 120 of the Labour Law (those entailing summary dismissal) (art. 139 FLLR).",20.0 month(s)
Arab States,United Arab Emirates,2013,6 months,Redundancy pay,No specific redundancy pay. Severance pay covers dismissals for economic reasons.,0.12 month(s)
Arab States,United Arab Emirates,2013,9 months,Redundancy pay,No specific redundancy pay. Severance pay covers dismissals for economic reasons.,0.25 month(s)
Arab States,United Arab Emirates,2013,1 year,Redundancy pay,No specific redundancy pay. Severance pay covers dismissals for economic reasons.,0.5 month(s)
Arab States,United Arab Emirates,2013,2 years,Redundancy pay,No specific redundancy pay. Severance pay covers dismissals for economic reasons.,1.0 month(s)
Arab States,United Arab Emirates,2013,4 years,Redundancy pay,No specific redundancy pay. Severance pay covers dismissals for economic reasons.,2.0 month(s)
Arab States,United Arab Emirates,2013,5 years,Redundancy pay,No specific redundancy pay. Severance pay covers dismissals for economic reasons.,2.5 month(s)
Arab States,United Arab Emirates,2013,10 years,Redundancy pay,No specific redundancy pay. Severance pay covers dismissals for economic reasons.,5.0 month(s)
Arab States,United Arab Emirates,2013,20 years,Redundancy pay,No specific redundancy pay. Severance pay covers dismissals for economic reasons.,10.0 month(s)
