Region,Country,Year,"Workers enjoying special protection","General remarks"
"Arab States","United Arab Emirates",2013,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities","- UAE national employees:<br/>National employee account for a tiny proportion of the workforce in the private sector. [Some sources refer to 0.3%,  (see:http://www.uaeinteract.com/docs/Emiratis_in_private_sector_make_0.3_percent_of_workforce/36439.htm) other to 7 % (see: http://story.arabherald.com/index.php/ct/9/cid/-e3942fd745a4fbc9/id/45389170/)]<br/>Article 1 of the Decision 176 states that dismissal of a UAE national employee will be regarded as &quot;illegal&quot; (literally &quot;without legal ground&quot;) in one of the following four circumstances:<br/>On February 2009, a Ministerial Resolution No 176 restricting the conditions for dismissing a UAE national employees was adopted. This decision provides that the dismissal of a UAE national is unlawful in one of the following 4 circumstances:<br/>1) where the UAE employee is dismissed for reasons other than those mentioned in Article 120 of the FLLR (i.e for reasons other those allowing for summary dismissal);<br/>2) if it is proven that the employer retains a non-UAE national who is performing work similar to that performed by the dismissed UAE national;<br/>3) the employer failed to inform the Ministry of Labour 30 days prior to the dismissal, or failed to comply with the Ministry&apos;s instructions within the designated times; and<br/>4) if it is proven that the UAE employee was not paid the full compensation due to him and the payment of his full retirement benefits as specified in the Federal Law on Labour Relations, its implementing regulations, the contract of employment or any other contractually binding document.<br/>Art. 3 of that Decision sets out the consequence of a violation of the Decision as follows: if the Ministry of Labour considers that the termination of the UAE national was unlawful it will inform the employer as which will then have 15 days to resolve the dispute with the UAE employee according to the directives of the Ministry. If the employer fails to resolve the dispute within this period, the matter is referred immediately to the relevant court and the Ministry will put stop issuing new labour permits (requested by the employer) until the court renders a final judgment in the matter. <br/>(Note that the Ministerial Decision No. 176/2009 is not available in English but is summarized in Hadef and Partner, &quot;Employment of UAE Nationals&quot;, 31 May 2009. The link to this article is provided below under &quot;Scope of additional information&quot;)<br/><br/>- Workers on temporary sick leave:<br/>The FFLR prohibits the dismissal of a worker on the ground that he or she is medically unfit to work before the worker exhausts all the periods of leave to which he entitled under the law (art. 124). Furthermore, an employer shall not dismiss a worker or serve a notice of dismissal while the worker is on annual leave or sick leave except in circumstances entailing summary dismissal (art. 90 FLLR)."
Asia,Afghanistan,2019,"workers on temporary leave following an occupational disease or a work injury, nationals","Art. 28 LC prohibits any transfer or termination of employment  during any paid leave period unless the undertaking has been dissolved. This means that dismissal is not permitted during maternity leave (90 days).<br/>However this protection does not cover the entire pregnancy period."
Americas,"Antigua and Barbuda",2018,"pregnant women and/or women on maternity leave","No provision found in the legislation reviewed."
Europe,Armenia,2018,"pregnant women and/or women on maternity leave","Art. 119 provides that any elected representative of workers may be dismissed only with the authorization by the representative body of workers.<br/>On temporary work incapacity, see art. 118 LC"
Africa,Angola,2019,"workers on temporary leave following an occupational disease or a work injury, nationals","<br/>Art. 207 provides for special protection against disciplinary dismissal for the following categories of workers:<br/>- trade union leaders, trade union delegates or worker&apos;s representatives;<br/>- women covered by maternity protection (=during the entire period of pregnancy until 1 year after delivery (arts 246 and 251 GLA);<br/>- war veterans;<br/>- minors (art. 260 GLA);<br/>- workers with a limited occupational disability degree of 20% or above.<br/>Any disciplinary dismissal of the above-mentioned workers (except for trade union leaders, trade union delegates or worker&apos;s representatives and women enjoying maternity protection) is subject to the authorization of the General Labour Inspectorate (see arts. 207(3), 260 GLA). The law provides that a woman covered by the maternity protection has the right not to be dismissed unless she commits a disciplinary offence which makes it immediately and practically impossible to maintain the employment relationship and provided that the Labour inspector acknowledges that the offence is of such nature and grants authorization (art. 246 (1)d) and (4) GLA). Besides, a woman covered by the maternity protection has the right not to be dismissed for objective reasons (art. 251 GLA).<br/>- Specific rules apply to the disciplinary dismissal of trade union leaders, trade union delegates or worker&apos;s representatives: mandatory notification to the trade union or the body they belong, presumption of unfair dismissal, higher compensation for unfair dismissal. <br/>"
Americas,Argentina,2019,"pregnant women and/or women on maternity leave","Argentine law provides special protection from employment termination to some specific categories of workers, including: women, trade union representatives and members, injured workers, workers on the verge of retirement, and those serving in the military. <br/><br/>- A woman worker must notify her employer of her pregnancy and provide a medical certificate stating that her confinement will probably take place within the period indicated. She is to retain her employment during the period indicated and is entitled to the allowances granted by the social security schemes. She must also be guaranteed stability of employment, which will constitute an acquired right from the date on which she notifies her employer of the fact that she is pregnant (art. 177 LCL).<br/><br/>It shall be presumed, in the absence of proof to the contrary, that the dismissal of a female worker is carried out on the grounds of maternity or pregnancy if it takes place within seven and a half months before or after confinement, if and when the woman has fulfilled her obligation to notify and prove, through certification, the fact that she is pregnant and, if applicable, the birth of the child. Under such circumstances, she should be paid compensation equivalent to one year&apos;s wages in addition to any other compensation required by law (arts. 177 and 182 LCL).<br/><br/>- A worker belonging to a board of management or holding representative office in an occupational association with trade status, in bodies which require trade union representation, or holding political office in the Government, is entitled to automatic leave without pay, and the employer must keep his or her job open and reinstate him or her when he or she ceases to perform his or her duties. The worker is to enjoy security of employment throughout the term of office and for one year thereafter, unless there is good cause for dismissal (Act No. 23551 of 14 Apr. 1988 on trade unions, art. 48).<br/><br/>- Trade union representatives in an enterprise may not be suspended, have their working conditions changed, or be dismissed throughout their terms of office and for one year thereafter, unless there is good cause for doing so. Security of employment for a trade union representative begins from the time of his or her candidature for a representative office in a trade union is submitted, and he or she may not be dismissed or suspended without good cause, nor may his or her conditions of work be modified for a period of six months. This protection will cease for those workers whose candidature is not officialised in accordance with the applicable electoral process from the moment in which such circumstance is certainly determined.(Act No. 23551, arts. 48 and 50).<br/><br/>- Article 50 Act No. 23551 establishes the special protections for worker representatives: Workers protected by articles 40, 48 and 50 of this Act cannot be suspended, dismissed or have their contractual conditions modified without a judicial decision excluding such protection, in accordance with the procedure established in Article 47. […] When the employer violates the protection established in the abovementioned articles, the worker will have the right to demand before a judge its reinstatement, together with the salaries lost during the judicial procedure, or the reestablishment of its working conditions. […]<br/><br/>- Where, on expiry of the periods for which work may be interrupted on account of a bona fide accident or illness, a worker is unable to return to work, the employer should keep his or her post open for one year, counting from the expiry of such periods (art. 211 LCL).<br/><br/>- Where a worker fulfils the qualifying conditions for retirement pensions and begins the necessary formalities, the employer must maintain the employment relationship until the appropriate fund grants the benefit, for a maximum of one year (art. 252 LCL).<br/><br/>- An employer must keep a worker&apos;s post open if the latter is obliged to perform compulsory military service because of an ordinary call-up, mobilization or special call-up, and must continue to do so from the date of the call-up and until 30 days after the completion of the service (art. 214 LCL).<br/>"
Europe,Austria,2019,"pregnant women and/or women on maternity leave","The following categories can only be dismissed with prior authorization from the court and only under specific grounds:<br/>* Pregnant women and women on maternity leave: sec. 10 Maternity Protection Act (as an exception to the general prohibition of dismissal);<br/>* Employees on parental leave: sec. 7 and 8f Parental Leave Act and 10 Maternity Protection Act (furthermore, even if an employer terminates a pregnant women on the grounds other than her pregnancy for up to 4 months after she gave birth, the female employee who is dismissed only has to prove the probability that the termination was actually due to the pregnancy, so as to invalidate the termination, sec. 10 8) Maternity Protection Act) <br/>* Works council members: sec. 120 to 122 WCA;<br/>* Employee performing military service or alternative service (see sec. 12 (1) APSG; protection requires that the worker notifies the employer once receiving the draft order; dismissal is possible with prior consent by a court).<br/><br/>In addition, dismissal of a disabled worker requires the prior consent of the invalidity board (sec. 8, Disabled Persons Act).<br/><br/>Lastly, an employer who intends to terminate an older worker&apos;s contract with a tenure of more than 2 years is required to take social aspects (difficulties in finding a job) into account (sec. 105 3) 2. b) WCA). This does however not apply to workers who have started working for the employer after they have turned 50 (sec. 105 3b) WCA)."
Asia,Australia,2019,"pregnant women and/or women on maternity leave","No statutory provisions providing for special protection found in the legislation reviewed.<br/>"
Europe,Azerbaijan,2019,"pregnant women and/or women on maternity leave","Art. 80 LC provides that the employer has to ask the authorization of the trade union to dismiss any member of the trade union.<br/><br/>Art. 255 prohibits the dismissal of workers under 18 for the lack of professional competency.<br/><br/>Art. 77 LC provides protections for workers performing military/alternative service."
Asia,Bangladesh,2019,"pregnant women and/or women on maternity leave","- No real special protection for pregnant women or women on maternity leave against termination of employment. However, sec. 50 LA &quot;Restriction on termination of employment of a woman in certain cases&quot; provides that: &quot;If any notice or order of discharge, dismissal, removal or termination of employment is given by an employer to a woman within a period of six month before and eight weeks after her delivery and such notice or order is given without sufficient cause, she will not be deprived of any maternity benefit to which she would have become entitled under this chapter.&quot;<br/>"
